название;цена;ссылка
  Самокат трюковой с 2-мя пегами цвет нео хром  ;7000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/samokat_tryukovoy_s_2-mya_pegami_tsvet_neo_hrom_1810644708
  Электромобиль  ;12950₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/elektromobil_1778313661
  Прогулочная коляска Gesslein F4 Air  ;19000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/progulochnaya_kolyaska_gesslein_f4_air_1668251562
  Коляска Teutonia Bliss  ;20000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kolyaska_teutonia_bliss_1792908916
  Отдам детское пюре  ;Бесплатно;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/otdam_detskoe_pyure_1851614499
  Avent philips  ;Бесплатно;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/avent_philips_1823948753
  Кисломолочная смесь 2  ;2₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/kislomolochnaya_smes_2_1806514172
  Продаю коляску Smart kids 2 в 1(почти новая)  ;37900₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/prodayu_kolyasku_smart_kids_2_v_1pochti_novaya_1801070784
  Робот Lego Star Wars  ;4000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/robot_lego_star_wars_745132803
  Манеж happy baby 60x120  ;10990₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/manezh_happy_baby_60x120_1843331711
  LOL Hairspray  ;8500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/lol_hairspray_1837992323
  Смесь малютка 2  ;2500₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/smes_malyutka_2_1847450210
  Конюшня lori  ;2000₽;https://www.avito.ru/moskva/tovary_dlya_detey_i_igrushki?cd=1/moskva/tovary_dlya_detey_i_igrushki/konyushnya_lori_1843938018
